;Unnamed: 0;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
0;0;0.9;0.1;128.0;1.4667370319366455;0.5794066190719604;1.5203142166137695;0.6003490686416626;3.1935014724731445;0.3926701545715332;50.0;50.0;50.0;0.0001
1;1;0.9;0.1;128.0;1.909884214401245;0.6823734641075134;4.1454482078552255;0.5043630003929138;1.7628442049026491;0.6684118509292603;100.0;100.0;100.0;0.0001
2;2;0.9;0.1;128.0;2.0108001232147217;0.6631762385368347;1.8357248306274412;0.7015706896781921;1.9879237413406368;0.6736474633216858;150.0;150.0;150.0;0.0001
3;3;0.9;0.1;256.0;4.467442512512207;0.5375218391418457;4.161379337310791;0.7102966904640198;4.824101448059082;0.3333333432674408;50.0;50.0;50.0;0.01
4;4;0.9;0.1;256.0;2.6357662677764893;0.5008726119995117;1.4653806686401367;0.5898778438568115;1.4680546522140503;0.6282722353935242;100.0;100.0;100.0;0.01
5;5;0.9;0.1;256.0;2.5158474445343018;0.5462478399276733;1.856813669204712;0.5218150019645691;4.426487445831299;0.35776615142822266;150.0;150.0;150.0;0.01
0;0;0.9;0.1;256.0;4.336426258087158;0.6265270709991455;5.056014537811278;0.5095986127853394;4.443967819213867;0.5671902298927307;50.0;50.0;50.0;0.001
1;1;0.9;0.1;256.0;3.6654131412506095;0.6422338485717773;3.813978433609009;0.6335078477859497;4.300788879394531;0.6387434601783752;100.0;100.0;100.0;0.001
2;2;0.9;0.1;256.0;3.1739270687103267;0.6771378517150879;3.284230232238769;0.6736474633216858;4.27811861038208;0.5410122275352478;150.0;150.0;150.0;0.001
3;3;0.9;0.1;256.0;1.2215341329574585;0.6544502377510071;1.553844332695007;0.5427573919296265;1.5324864387512207;0.5322862267494202;50.0;50.0;50.0;0.0001
4;4;0.9;0.1;256.0;1.2959702014923096;0.6893543004989624;2.0017004013061523;0.5654450058937073;1.9781789779663088;0.5567190051078796;100.0;100.0;100.0;0.0001
5;5;0.9;0.1;256.0;2.0174505710601807;0.5951134562492371;1.6323175430297852;0.6910994648933411;1.6270962953567505;0.6788830757141113;150.0;150.0;150.0;0.0001
6;6;0.9;0.01;64.0;16.845918655395508;0.3996509611606598;16.700977325439453;0.4694589972496033;16.867176055908207;0.4415357708930969;50.0;50.0;50.0;0.01
7;7;0.9;0.01;64.0;6.349719524383545;0.6649214625358582;6.194711208343506;0.7364746928215027;6.4742112159729;0.6178010702133179;100.0;100.0;100.0;0.01
8;8;0.9;0.01;64.0;3.0032525062561035;0.6945898532867432;3.005290031433105;0.6945898532867432;3.0233864784240723;0.6701570749282837;150.0;150.0;150.0;0.01
9;9;0.9;0.01;64.0;5.095695972442627;0.5636998414993286;5.113569259643555;0.4938918054103851;5.1882853507995605;0.4869109988212586;50.0;50.0;50.0;0.001
0;0;0.9;0.01;64.0;4.601804733276367;0.6404886841773987;4.890231132507324;0.5305410027503967;4.816476345062256;0.5951134562492371;100.0;100.0;100.0;0.001
1;1;0.9;0.01;64.0;4.663346290588379;0.584642231464386;4.6845436096191415;0.5043630003929138;4.483468055725098;0.6439790725708008;150.0;150.0;150.0;0.001
2;2;0.9;0.01;64.0;1.4961792230606081;0.5305410027503967;1.4588593244552612;0.5636998414993286;1.5113577842712402;0.4781849980354309;50.0;50.0;50.0;0.0001
3;3;0.9;0.01;64.0;1.3542776107788086;0.6457242369651794;1.6472023725509644;0.5375218391418457;1.4204907417297363;0.5497382283210754;100.0;100.0;100.0;0.0001
4;4;0.9;0.01;64.0;1.4026141166687012;0.6841186881065369;1.4218519926071167;0.6335078477859497;1.63807213306427;0.584642231464386;150.0;150.0;150.0;0.0001
5;5;0.9;0.01;128.0;28.00121116638184;0.4712041914463043;28.06108856201172;0.3979057669639587;28.00907325744629;0.4607329964637756;50.0;50.0;50.0;0.01
6;6;0.9;0.01;128.0;17.094612121582028;0.4886561930179596;16.991228103637695;0.5986038446426392;17.104728698730472;0.554973840713501;100.0;100.0;100.0;0.01
7;7;0.9;0.01;128.0;10.726276397705078;0.5253053903579712;10.635427474975586;0.5026177763938904;10.70750331878662;0.4677137732505798;150.0;150.0;150.0;0.01
8;8;0.9;0.01;128.0;5.419067859649658;0.4589877724647522;5.392760276794434;0.4677137732505798;5.480256080627441;0.4363001883029938;50.0;50.0;50.0;0.001
