;momentum;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3;reg_penalty
3;0.9;0.1;128.0;1.9339150190353396;0.62129145860672;2.0532631874084477;0.6631762385368347;1.9913771152496336;0.6684118509292603;100.0;100.0;100.0;0.001
4;0.9;0.1;128.0;1.850175857543945;0.6631762385368347;2.287805795669556;0.657940685749054;1.8891544342041016;0.6439790725708008;150.0;150.0;150.0;0.001
5;0.9;0.1;128.0;1.1392929553985596;0.5968586206436157;1.4755632877349854;0.5410122275352478;1.2384088039398191;0.614310622215271;50.0;50.0;50.0;0.0001
6;0.9;0.1;128.0;1.0961935520172121;0.6858638525009155;2.159048080444336;0.5654450058937073;1.5542765855789185;0.6544502377510071;100.0;100.0;100.0;0.0001
7;0.9;0.1;128.0;1.5565842390060425;0.657940685749054;1.5190476179122925;0.6649214625358582;1.807369589805603;0.6998254656791687;150.0;150.0;150.0;0.0001
8;0.9;0.1;256.0;2.847323179244995;0.5514833927154541;2.923133373260498;0.4938918054103851;2.9965543746948238;0.3839441537857056;50.0;50.0;50.0;0.01
9;0.9;0.1;256.0;1.5238847732543943;0.547993004322052;1.130892038345337;0.69808030128479;2.3835523128509517;0.443280965089798;100.0;100.0;100.0;0.01
10;0.9;0.1;256.0;1.16587495803833;0.6771378517150879;1.5905494689941406;0.650959849357605;1.1038548946380615;0.7033158540725708;150.0;150.0;150.0;0.01
0;0.9;0.1;256.0;2.713216543197632;0.6020942330360413;2.838583707809448;0.5270506143569946;2.9872615337371826;0.4363001883029938;50.0;50.0;50.0;0.001
1;0.9;0.1;256.0;2.2942652702331543;0.6701570749282837;2.407519578933716;0.6265270709991455;2.4263432025909424;0.6125654578208923;100.0;100.0;100.0;0.001
2;0.9;0.1;256.0;2.516378164291382;0.5828970074653625;2.6783125400543213;0.5619546175003052;2.1421587467193604;0.6684118509292603;150.0;150.0;150.0;0.001
3;0.9;0.1;256.0;1.3328157663345337;0.5305410027503967;1.357009768486023;0.4746945798397064;2.187151908874512;0.4293193817138672;50.0;50.0;50.0;0.0001
4;0.9;0.1;256.0;3.846112966537476;0.3734729588031769;1.3925198316574097;0.6422338485717773;1.44681978225708;0.5427573919296265;100.0;100.0;100.0;0.0001
5;0.9;0.1;256.0;1.1886844635009766;0.6684118509292603;1.0560082197189329;0.6963350772857666;1.2890790700912476;0.6247818470001221;150.0;150.0;150.0;0.0001
6;0.9;0.01;64.0;9.030191421508787;0.4781849980354309;9.029159545898438;0.45026177167892456;8.999862670898438;0.584642231464386;50.0;50.0;50.0;0.01
7;0.9;0.01;64.0;3.7151126861572266;0.6596858501434326;3.9472043514251713;0.5619546175003052;3.850627660751343;0.5392670035362244;100.0;100.0;100.0;0.01
8;0.9;0.01;64.0;2.026446580886841;0.687609076499939;1.8546957969665527;0.7382199168205261;2.0892481803894043;0.6596858501434326;150.0;150.0;150.0;0.01
9;0.9;0.01;64.0;3.031083822250366;0.6160558462142944;3.108322858810425;0.5061082243919373;3.3514976501464844;0.4834205806255341;50.0;50.0;50.0;0.001
0;0.9;0.01;64.0;2.6245806217193604;0.6701570749282837;2.9237945079803467;0.5183246135711671;2.805372953414917;0.5986038446426392;100.0;100.0;100.0;0.001
1;0.9;0.01;64.0;2.5221047401428223;0.69808030128479;2.780830383300781;0.5951134562492371;2.962693452835083;0.6003490686416626;150.0;150.0;150.0;0.001
2;0.9;0.01;64.0;1.2034271955490112;0.5951134562492371;1.2422915697097778;0.5532286167144775;1.3270258903503418;0.4677137732505798;50.0;50.0;50.0;0.0001
3;0.9;0.01;64.0;1.109540581703186;0.6317626237869263;1.0454918146133425;0.6422338485717773;1.2956708669662476;0.5532286167144775;100.0;100.0;100.0;0.0001
4;0.9;0.01;64.0;1.0525548458099363;0.6736474633216858;1.0015997886657717;0.6788830757141113;1.177720546722412;0.6160558462142944;150.0;150.0;150.0;0.0001
5;0.9;0.01;128.0;14.744125366210938;0.4851658046245575;14.674545288085938;0.5078533887863159;14.709359169006348;0.5165793895721436;50.0;50.0;50.0;0.01
